date,stock_code,buy_count,sell_count,is_top_recommended,is_top_not_recommended,recommended_view_sum,not_recommended_view_sum,return_5d
2026-04-08,4991,1,0,0,0,0,0,
2026-04-08,5347,1,0,0,0,0,0,
2026-04-08,6147,1,1,0,0,0,0,
2026-04-08,6187,2,0,1,0,0,0,
2026-04-08,6213,2,0,0,0,0,0,
2026-04-08,6217,1,0,0,0,0,0,
2026-04-08,6239,0,1,0,0,0,0,
2026-04-08,6274,2,0,0,0,0,0,
2026-04-08,6426,1,0,0,0,0,0,
2026-04-08,6438,1,0,0,0,0,0,
2026-04-08,6442,2,0,0,0,0,0,
2026-04-08,6451,1,0,0,0,0,0,
2026-04-08,6456,1,0,0,0,91906,0,
2026-04-08,6531,1,0,0,0,0,0,
2026-04-08,6640,1,0,0,0,0,0,
2026-04-08,6669,1,0,0,0,0,0,
2026-04-08,6770,0,2,0,1,0,157585,
2026-04-08,6805,1,0,0,0,0,0,
2026-04-08,8016,1,0,0,0,0,0,
2026-04-08,8046,1,1,0,0,0,0,
2026-04-08,8064,1,0,0,0,0,0,
2026-04-08,8086,1,0,0,0,0,0,
2026-04-08,8271,0,1,0,0,0,0,
2026-04-08,8299,0,1,0,0,0,0,
2026-04-08,8358,1,0,0,0,0,0,
2026-04-08,8996,1,0,0,0,0,0,
2026-04-09,0050,2,0,1,0,96570,0,
2026-04-09,1303,1,0,0,0,0,0,
2026-04-09,1785,1,0,0,0,0,0,
2026-04-09,1815,1,0,0,0,0,0,
2026-04-09,2301,0,1,0,1,0,0,
2026-04-09,2303,1,0,0,0,0,0,
2026-04-09,2308,3,1,1,1,83042,0,
2026-04-09,2317,3,1,1,1,114748,70192,
2026-04-09,2327,1,0,0,0,0,0,
2026-04-09,2330,4,0,1,0,139533,0,
2026-04-09,2337,3,0,1,1,108863,0,
2026-04-09,2344,3,1,1,1,166762,0,
2026-04-09,2382,3,1,1,1,114748,70192,
2026-04-09,2383,2,0,1,0,0,0,
2026-04-09,2408,1,1,0,1,0,0,
2026-04-09,2409,1,0,0,0,0,0,
2026-04-09,2421,0,1,0,0,0,0,
2026-04-09,2449,1,0,0,0,0,0,
2026-04-09,2454,3,0,1,0,124602,0,
2026-04-09,2481,1,0,0,0,0,0,
2026-04-09,2492,1,0,0,0,0,0,
2026-04-09,2609,0,1,0,0,0,76077,
2026-04-09,2615,0,1,0,0,0,76077,
2026-04-09,3008,1,0,0,0,0,0,
2026-04-09,3017,1,0,0,0,0,0,
2026-04-09,3034,1,0,0,0,0,0,
2026-04-09,3037,2,2,1,1,85363,94255,
2026-04-09,3105,1,0,0,0,0,0,
